514,299,272,258,142,46,24,7,1,,,,,
1783,1383,920,453,185,55,19,6,1,,,,,
4507,2025,1065,728,209,61,23,6,1,,,,,
10315,4836,4722,409,301,71,21,5,1,,,,,
22607,4528,2082,791,179,57,15,5,1,,,,,
32501,7827,2410,254,120,37,15,4,1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
856,442,294,180,103,50,19,5,1,,,,No Pruning,With Pruning
2370,1378,996,487,182,73,20,5,1,,,,856,514
8810,5468,1893,807,300,65,18,4,1,,,,2370,1783
23421,6305,4880,875,343,65,18,5,1,,,,8810,4507
52765,18996,3480,1374,278,59,19,5,1,,,,23421,10315
90668,16800,3977,824,187,54,18,5,1,,,,52765,22607
,,,,,,,,,,,,90668,32501
